Author,Degree Centrality,Betweenness Centrality
Yibiao Zhou,0.01147925906600574,0.004795611355541769
Hui Dang,0.01147925906600574,0.00020419002179092457
Edridah M Tukahebwa,0.01147925906600574,0.0028031462646076473
Jie Zhou,0.01147925906600574,0.00237166728254954
Reda M R Ramzy,0.01121836681450561,0.0014980260662659582
Margaret A Mafe,0.01121836681450561,0.00025861491660543316
Eric S Loker,0.010957474563005479,0.00315698687423305
Fei Hu,0.010957474563005479,0.0010546089074722573
Darren J Gray,0.010957474563005479,0.00042086587556594985
Joseph R Mwanga,0.010957474563005479,0.002435501244587207
Shi-Qing Zhang,0.010957474563005479,0.00011353957852366524
Amaya L Bustinduy,0.010957474563005479,0.002145236527826462
Shaali M Ame,0.010957474563005479,0.00010982024764272015
Qing-Wu Jiang,0.010957474563005479,0.001729047481097908
Said M Ali,0.010957474563005479,0.00010982024764272015
Pauline N M Mwinzi,0.010696582311505347,0.0006970863946278101
Hong-Qing Zhu,0.010696582311505347,0.0005133562877888789
Shan Lv,0.010435690060005217,0.00031156331308818537
Gail M Williams,0.010435690060005217,0.0003742472231439709
Alan Fenwick,0.010435690060005217,0.002362740156883564
Yaobi Zhang,0.010435690060005217,0.0027423209148274433
Michael D French,0.010435690060005217,0.0010576178845135627
Louis-Albert Tchuem Tchuenté,0.010174797808505087,0.001369687400898887
Nathan C Lo,0.010174797808505087,0.0007245130391143001
Guo-Jing Yang,0.010174797808505087,0.0015097252618908176
Wandklebson Silva da Paz,0.010174797808505087,0.00025905402321450854
Carlos Graeff-Teixeira,0.009913905557004957,0.0002987007493253924
Mitermayer G Reis,0.009913905557004957,5.174920616419482e-05
Li-Juan Zhang,0.009653013305504827,0.0004888949069747667
Thomas K Kristensen,0.009653013305504827,0.0008109810206306566
Uwem F Ekpo,0.009653013305504827,6.056316951758011e-05
Muriel Rabone,0.009653013305504827,0.00034525660336686906
Hong-Gen Chen,0.009653013305504827,0.0010703153903970889
Jan Hattendorf,0.009392121054004696,0.00012812360703723475
Xiao-Hua Wu,0.009392121054004696,0.00013680596762262928
Moussa Sacko,0.009392121054004696,0.0017838291941244114
Fatma M Kabole,0.009392121054004696,0.00019315631359072724
Xiao-nong Zhou,0.009131228802504564,0.0027131057450887203
Gen-Ming Zhao,0.009131228802504564,0.00047312389937396077
Sue Binder,0.008870336551004434,0.000573035944565324
Guan-Ling Wu,0.008870336551004434,0.0003638874748821416
Ronald E Blanton,0.008870336551004434,2.6354422810972254e-05
Peter Steinmann,0.008870336551004434,0.0029723862472533624
Maurice R Odiere,0.008870336551004434,0.0007884009259246787
Safari M Kinung'hi,0.008870336551004434,0.007695134877635257
Allan Dantas Dos Santos,0.008870336551004434,0.00019246930975753382
Tianping Wang,0.008609444299504304,0.0008626565397022153
Bonnie L Webster,0.008609444299504304,0.0025315249469773423
Eniola Michael Abe,0.008609444299504304,0.003772435953921999
Francisca Mutapi,0.008609444299504304,0.0013739602840684543
Giulio A De Leo,0.008609444299504304,5.3507896765030324e-05
Anne Straily,0.008348552048004174,0.0008513233204835194
Jiagang Guo,0.008348552048004174,0.0005152250238671836
Paul Hagan,0.008348552048004174,0.0007472738393698935
Bobbie Person,0.008348552048004174,3.8718534836330644e-05
Jean T Coulibaly,0.008348552048004174,0.0001106853924940246
M H Hussein,0.008087659796504044,0.00024177078689942752
Raphael Rakotozandrindrainy,0.008087659796504044,0.001754078279657975
Jürgen May,0.008087659796504044,0.001754078279657975
Fadjar Satrija,0.008087659796504044,0.0013048697526752348
Doudou Sow,0.008087659796504044,0.003692796378227316
M Tanner,0.007826767545003914,0.0001128354448902791
Achille Kabore,0.007826767545003914,0.0013048697526752348
Timothy J C Anderson,0.007826767545003914,0.004056084753489501
Yang Liu,0.007826767545003914,0.00024018065169445417
Rong Zhu,0.007826767545003914,0.0003564138687908
Wei Wang,0.007826767545003914,0.000801129501427911
Eveline Hürlimann,0.007826767545003914,5.1426965938755284e-05
Francis Kazibwe,0.007826767545003914,0.0012857176646498215
Aidan Emery,0.007826767545003914,0.00027205648560950596
Nana R Diakité,0.007565875293503783,0.0002095533885011317
You-Sheng Liang,0.007565875293503783,0.0012466387857340538
Zheng Feng,0.007565875293503783,0.0008073369666379563
Martin Johannes Enk,0.007565875293503783,0.00035518655429962954
Deborah Aparecida Negrão-Corrêa,0.007565875293503783,0.0005882330513990415
Safari Kinung'hi,0.007565875293503783,0.003657561261058381
Leda Hernandez,0.007565875293503783,0.005878026185206384
Fernando Schemelzer Moraes Bezerra,0.007304983042003652,0.0
Narcis Kabatereine,0.007304983042003652,0.0
M Hassan Murad,0.007304983042003652,0.0
Anthony Danso-Appiah,0.007304983042003652,0.0
Michel Vaillant,0.007304983042003652,0.0
Luciano K Silva,0.007304983042003652,9.197625478500223e-06
Mamadou Souncalo Traoré,0.007304983042003652,0.0
Mamoun Homeida,0.007304983042003652,0.0
Paolo Eusebi,0.007304983042003652,0.0
Allen G Ross,0.007304983042003652,0.00017160061886820985
Khalfan A Mohammed,0.007304983042003652,0.00010702388355081599
Reginald Quansah,0.007304983042003652,0.0
George M Davis,0.007304983042003652,0.0002898994379718734
Babacar Faye,0.007304983042003652,0.014777721435702586
Charles O Obonyo,0.007304983042003652,0.0
Bonnie Webster,0.007304983042003652,0.00011682130265296882
Ding Lu,0.007044090790503521,0.00045003188534497955
Israel Gomes de Amorim Santos,0.007044090790503521,1.9471603321773827e-05
Zi-Song Wu,0.007044090790503521,0.0003928454765855355
Yi Hu,0.007044090790503521,0.0003525212560530899
Shang Xia,0.007044090790503521,0.0006144458984112564
Fatma Kabole,0.007044090790503521,1.4469640591223187e-05
Yi Dong,0.006783198539003391,0.0006676707928242361
Yu Yang,0.006783198539003391,0.00037499060285650225
Li-Ying Wang,0.006522306287503261,0.0
Lazarus Juziwelo,0.006522306287503261,0.006160934105847682
Guilherme Oliveira,0.006522306287503261,0.008391580206393549
Zhijie Zhang,0.006522306287503261,0.00014709742606554334
Stephen A Spencer,0.006522306287503261,1.1821602779589327e-06
Rufin K Assaré,0.006522306287503261,6.023826880906852e-05
Jiang Zheng,0.006522306287503261,0.0
Ming-Gang Chen,0.006522306287503261,0.0
Paul L A M Corstjens,0.006522306287503261,0.002422496069656367
Govert J van Dam,0.006522306287503261,0.002422496069656367
James M StJ Penney,0.006522306287503261,1.1821602779589327e-06
Hannah J Russell,0.006522306287503261,1.1821602779589327e-06
Emmanuel H Andriamasy,0.006522306287503261,1.1821602779589327e-06
Xing-Qi Dong,0.006522306287503261,0.0
Gang Xia,0.006522306287503261,0.0
Liang Xu,0.006522306287503261,0.00018606762189181885
Shao-Ji Zhang,0.006522306287503261,0.0
G T Strickland,0.006522306287503261,7.339296636668596e-05
Yin-Chang Zhu,0.006522306287503261,0.0
Nai-Qing Zhao,0.006522306287503261,0.0
Robert S Li,0.006522306287503261,0.00010531594091623236
Peter Makaula,0.006522306287503261,0.0016789151675347647
Xing-Jian Xu,0.006522306287503261,0.0
Xian-Hong Wang,0.006522306287503261,0.0
Yang Hao,0.006522306287503261,0.0
