Author,Degree Centrality,Betweenness Centrality
Vanderlei Rodrigues,0.014663599769982749,0.02894945866808381
Jürg Utzinger,0.01408855664174813,0.016427792809916908
Christoph G Grevelding,0.013513513513513514,0.021619881995291274
Fiona Allan,0.013369752731454859,0.007473917591235962
Joanne P Webster,0.012219666474985624,0.009717027329800846
Jiaojiao Lin,0.011932144910868315,0.00820375774790931
Paulo Marcos Zech Coelho,0.011788384128809662,0.027992481448606252
Xiao-Nong Zhou,0.011500862564692352,0.023362693482178273
Yang Hong,0.010925819436457734,0.0060897356983198505
Ke Lu,0.010925819436457734,0.0009044190155052083
James H McKerrow,0.010925819436457734,0.003862197041639301
Jérôme Boissier,0.010494537090281772,0.004810199056773169
Zheng Feng,0.010494537090281772,0.002057541492862721
Hao Li,0.010494537090281772,0.0009072410002084838
Geoffrey N Gobert,0.010350776308223116,0.0069938344542880134
Zhiqiang Fu,0.009344450833812535,0.0032107482443307534
Jing Xu,0.009200690051753882,0.006380253269858974
Ricardo DeMarco,0.009056929269695228,0.007053334656921089
David L Williams,0.009056929269695228,0.01275690861562987
Robin B Gasser,0.008625646923519264,0.006660127668377108
R Alan Wilson,0.008625646923519264,0.020056268304357836
Lisette van Lieshout,0.00848188614146061,0.00904664084573123
Feng Liu,0.00848188614146061,0.010050711340906324
Chuan Su,0.008338125359401954,0.008485028528085399
Malcolm K Jones,0.007906843013225992,0.0013030503183784313
J Russell Stothard,0.007763082231167338,0.005737448228006739
Alex Loukas,0.0076193214491086835,0.0038339864468600556
Zhigang Lu,0.0076193214491086835,0.007599693607844981
Colette Dissous,0.0076193214491086835,0.006566300314576875
Eliana Nakano,0.0076193214491086835,0.002363081439337492
Ana C Mengarda,0.007331799884991374,0.0007283490771076239
Kwabena M Bosompem,0.00718803910293272,0.012405850795838412
Yaojun Shi,0.00718803910293272,0.0029401101661731795
Anne Rognon,0.00718803910293272,0.001620157832037769
Wei Zhang,0.00718803910293272,0.006233664298467822
Narcis B Kabatereine,0.007044278320874065,0.004996842977029895
D Rollinson,0.007044278320874065,0.0001642274628951902
Luciana C C Leite,0.006900517538815411,0.00016352019397447454
Patricia A Miyasato,0.006756756756756757,0.0001566841052455622
Hélène Moné,0.006756756756756757,0.0030370693312918367
Gabriel Mouahid,0.006756756756756757,0.0030370693312918367
Leonardo P Farias,0.006756756756756757,0.00014399431420638925
Shi-Zhu Li,0.006612995974698103,0.006528275670510809
Weidong Zhang,0.006469235192639448,0.00042072505605268907
Jean-François Allienne,0.006469235192639448,0.0014250592963961336
Afzal A Siddiqui,0.006469235192639448,0.00042072505605268907
Lizandra G Magalhães,0.006469235192639448,0.002270534122015534
Svein Gunnar Gundersen,0.0063254744105807935,0.0013372205694788797
Toshie Kawano,0.0063254744105807935,0.004781517874327779
Neil D Young,0.0063254744105807935,0.0006962685476450193
Joachim Richter,0.0063254744105807935,0.006103718550367476
Ademar A Da Silva Filho,0.0063254744105807935,0.00666180336691907
Philip T LoVerde,0.0063254744105807935,0.010701470831902751
Sheng-Yue Wang,0.006181713628522139,0.004728087264497627
Cornelis H Hokke,0.006181713628522139,0.005416188964587462
Stefanie Knopp,0.006181713628522139,0.00026474018989252024
Eliézer K N'Goran,0.006181713628522139,0.002409185217979691
Workineh Torben,0.006181713628522139,0.0009011683149373941
Julien Lancelot,0.006181713628522139,0.0022793719397906195
Nancy Holroyd,0.0060379528464634845,0.0037650413788028227
Gul Ahmad,0.0060379528464634845,0.00024992773870536304
Emmanuel Dias-Neto,0.0060379528464634845,0.00025777296570947286
Muriel Rabone,0.0060379528464634845,0.0007901096036764487
Simone Haeberlein,0.005894192064404831,0.00028905716622786075
Timothy J C Anderson,0.005894192064404831,0.0030144677568485663
Guofeng Cheng,0.005894192064404831,0.002516633908452997
Jie Wang,0.005894192064404831,0.0001459598706496524
Jinming Liu,0.005894192064404831,0.0019383964986635892
Amadou Garba,0.005894192064404831,0.0016769936269930286
Maria C Salvadori,0.005894192064404831,0.0002891081395803386
Fernanda S Teixeira,0.005894192064404831,0.0002891081395803386
Steven G Reed,0.005894192064404831,0.007202026439550629
Frédéric D Chevalier,0.005894192064404831,0.0030144677568485663
Jipeng Wang,0.005750431282346176,0.005965496271093965
