AuthorForename,AuthorLastname,ContributionCount
Mohamed R,Habib,15
Maria Elena,Bottazzi,15
Robin B,Gasser,15
Sergio C,Oliveira,14
Yun,Zhang,14
Antonio,Montresor,14
Eveline,Hürlimann,14
Ana C,Mengarda,14
Matty,Knight,14
Tine,Huyse,14
Cristiano Lara,Massara,14
Jun-Fang,Xu,14
Mihoko,Kikuchi,14
Gabriel,Mouahid,14
Elisabeth,Kleppa,14
Ricardo,DeMarco,14
Cao,Chun-Li,14
Loc,Le,14
Muriel,Rabone,14
Louis-Albert,Tchuem Tchuenté,14
Emily L,Webb,14
Eli,Schwartz,14
A,Garba,14
Bonnie,Webster,14
Neil D,Young,14
Liang,You-Sheng,14
Zu-Wu,Tu,13
A,Fenwick,13
E James,LaCourse,13
Yang,Gao,13
Julien,Lancelot,13
Moses John,Chimbari,13
Jifeng,Zhu,13
Jianping,Cao,13
Qing-wu,Jiang,13
Xu-Ren,Yin,13
Xiaodan,Cao,13
Jeffrey M,Bethony,13
Jaspreet,Toor,13
Martin,Walker,13
Rufin K,Assaré,13
Fenghua,Gao,13
Gul,Ahmad,13
Eliana,Nakano,13
Hélène,Moné,13
Li-Jun,Song,13
Hiroshi,Ohmae,13
V R,Southgate,13
Thomas K,Kristensen,13
Akram A,Da'dara,13
Yibiao,Zhou,13
Juan,Zhang,13
Patricia D,Ndhlovu,13
Xia,Zhang,13
Shu-Ying,Xie,13
Elainne Christine de Souza,Gomes,13
Tom,Pennance,13
Alessandro,Bartoloni,13
Frank,Brombacher,13
Peter,Makaula,13
Hui,Dang,13
Zi-Song,Wu,13
James H,McKerrow,13
J,Zhou,13
Yanhui,Han,13
Sung-Tae,Hong,13
You-sheng,Liang,13
Xiaojun,Chen,13
Stephen T,McGarvey,13
José Roberto,Machado-Silva,13
Archie C A,Clements,12
Ning,Xiao,12
Michael D,French,12
Peter,Odermatt,12
Hui-Fen,Dong,12
Hongxiao,Han,12
Chelsea L,Wood,12
Qijun,Chen,12
Brian B,Graham,12
Silmara Marques,Allegretti,12
Jiao-Jiao,Lin,12
Marta Cristhiany Cunha,Pinheiro,12
Ting,Feng,12
Grant A,Ramm,12
B,Gryseels,12
L J,Zhang,12
Fred,Nuwaha,12
Y B,Zhou,12
Shiqing,Zhang,12
Yi-biao,Zhou,12
Christoph,Grunau,12
Jiang,Zheng,12
Claudia J,de Dood,12
Roberta Lima,Caldeira,12
Blanca,Jarilla,12
Nicolas,Jouanard,12
J F,Zhang,12
Edmund Y W,Seto,12
Moses J,Chimbari,11
Santiago,Mas-Coma,11
Zhi-Jie,Zhang,11
Emmanuel,Bottieau,11
Chun-Yan,Qian,11
Lydia,Leonardo,11
Jean-François,Allienne,11
M J,Doenhoff,11
Dong-Chuan,Qiu,11
Chun-li,Cao,11
Gachuhi,Kimani,11
Y S,Li,11
Chuangang,Zhu,11
Y,Zhang,11
Donato,Cioli,11
Nathan C,Lo,11
Thomas,Quack,11
Kenji,Hirayama,11
Moses,Arinaitwe,11
Eleni,Aklillu,11
Adebayo J,Molehin,11
Jennifer A,Downs,11
Martina R,Laidemitt,11
Miao,Liu,11
Ying,Li,11
Edward,Oliveira,11
Yong-Kang,He,11
J,Vercruysse,11
Andrea,Gazzinelli,11
Raymond J,Pierce,11
Xiao-Jun,Zeng,11
Renata Heisler,Neves,11
Samar N,El-Beshbishi,11
Guang-hui,Ren,11
Xiaoying,Wu,11
Shun-Xiang,Cai,11
Le-ping,Sun,11
Wang,Wei,11
Jinbiao,Peng,11
David,Gurarie,11
Michelle C,Stanton,11
Arthur,Vengesai,11
Gen-Ming,Zhao,11
Iain W,Chalmers,11
Pauline,Mwinzi,11
Nuno,Vale,11
Momar,Ndao,11
Jing,Zhang,11
Joseph K,Mwatha,11
Jason R,Rohr,11
Joseph R,Mwanga,11
Raymond T,Damian,11
Lei,Xu,11
Gordana,Panic,11
Claire D,Bourke,11
Phiraphol,Chusongsang,10
Jaco J,Verweij,10
J,Richter,10
John P,Dalton,10
Bo,Tao,10
Godfrey M,Kaatano,10
Ayman T A,Morsy,10
Nega,Berhe,10
Alessandra,Guidi,10
Fei,Guan,10
Xiong,Liu,10
Xi-guang,Feng,10
Jose C,Sousa-Figueiredo,10
Zheng-Yuan,Zhao,10
Guang-Hui,Ren,10
Y,Li,10
Maria Ilma,Araujo,10
Allen G P,Ross,10
Hong,Zhu,10
Jakob,Zinsstag,10
Claire J,Standley,10
Weiqing,Pan,10
Shi-qing,Zhang,10
Narcis,Kabatereine,10
Olusola,Ojurongbe,10
H Curtis,Kariuki,10
John M,Changalucha,10
Timothy P,Yoshino,10
Dirk,Engels,10
Yue-Min,Liu,10
Cristina,Bocanegra,10
Ding,Lu,10
A,Capron,10
Poom,Adisakwattana,10
Ren,Guang-Hui,10
Yi,Mu,10
Qian,Han,10
Lizandra G,Magalhães,10
Brian M,Suzuki,10
Jonathan S,Marchant,10
Hassan Ahmed Hassan Ahmed,Ismail,10
Cristina Toscano,Fonseca,10
Qi-Zhi,Wang,10
Jorg,Heukelbach,10
Henry,Lynn,10
Xing-Quan,Zhu,10
R,Correa-Oliveira,10
Tawanda,Manyangadze,10
Isabel J,Jones,10
Zi-Ping,Bao,10
José Carlos,Sousa-Figueiredo,10
Martin W,Mutuku,10
E K,N'Goran,10
Henry,Madsen,10
Deborah,Negrão-Corrêa,10
Meta,Roestenberg,10
W,Li,10
Patrick,Driguez,10
Xiao-jun,Zeng,10
D,Engels,10
Cécile,Häberli,10
Yang,Dai,10
Lü,Shan,10
Maria-Gloria,Basáñez,10
Zhong-Dao,Wu,10
Xianyu,Piao,10
Li-Yong,Wen,10
Aly,Landouré,10
Shuai,Liu,10
Olfat,Hammam,10
Michael J,Doenhoff,10
Mary,Duke,10
Kigbafori D,Silué,10
Lazarus,Juziwelo,10
Feng,Wu,10
Zhipeng,Xu,10
Zhigang,Lu,10
Julio,López-Abán,10
Helmut,Kloos,10
Julie,Jacobson,9
Doudou,Sow,9
Hermelijn H,Smits,9
C L,Cao,9
Zhi-Guo,Cao,9
Hong-gen,Chen,9
Jose Ma M,Angeles,9
Joaquín,Salas-Coronas,9
Yi-Yi,Li,9
Pedro,Fernández-Soto,9
Pauline N,Mwinzi,9
Dong,Yi,9
Mark W,Miller,9
Jie,Gao,9
Omar S,Carvalho,9
M,Capron,9
Honggen,Chen,9
Mireille,Vargas,9
Guo,Li,9
María-Gloria,Basáñez,9
Aaron,Atuhaire,9
Wu,Zi-Song,9
Qing-biao,Hong,9
Li,Tang,9
Yasuyuki,Goto,9
Anne,Rognon,9
O,Doumbo,9
P,Hagan,9
José C,Sousa-Figueiredo,9
Uwem F,Ekpo,9
Piero L,Olliaro,9
Zhao,Chen,9
Anna-Sofie,Stensgaard,9
Michelle L,Steinauer,9
Jian-Bing,Liu,9
Li-juan,Zhang,9
Andrea J,Lund,9
Zilton A,Andrade,9
Maha M,Eissa,9
William Evan,Secor,9
Pytsje T,Hoekstra,9
Monique,Capron,9
An,Zhao,9
Abdoulaye,Dabo,9
Vivian,Mushi,9
Hao,Wang,9
Rong,Luo,9
T K,Kristensen,9
Cheikh,Sokhna,9
Ming-Sen,Jiang,9
Christina L,Faust,9
Tosson A,Morsy,9
A,Montresor,9
Paulo Marcos Z,Coelho,9
Anne-Marie,Schacht,9
Nan,Hou,9
Hua-Ming,Zhang,9
Yves-Nathan T,Tian-Bi,9
Shinjiro,Hamano,9
Yao-Jun,Shi,9
B L,Webster,9
I Simba,Khamis,9
Chen,Ying-Dan,9
Kosala G,Weerakoon,9
Nana R,Diakité,9
Edridah,Tukahebwa,9
Armand M,Kuris,9
Fernando Schemelzer Moraes,Bezerra,9
Javier,Perez-Saez,9
Silmara M,Allegretti,9
Frederico G C,Abath,9
Denise L,Doolan,9
Edmundo Pessoa,Lopes,9
Onrapak,Reamtong,9
Yun-Tian,Xing,9
Xu,Jia,9
Eniola Michael,Abe,9
Ricardo J,Soares Magalhães,9
Fernando,Salvador,9
Maria João,Gouveia,9
Bruno,Senghor,9
Cai,Shun-Xiang,9
Jacques,Chollet,9
A M,Goes,9
J P,Chippaux,9
Yi,Dong,9
Shang,Xia,9
Ronald E,Blanton,9
Ghazwan,Butrous,9
Luz,Acosta,9
Liliane Maria Vidal,Siqueira,9
H,Madsen,9
Jutta,Reinhard-Rupp,9
Hong-Qing,Zhu,9
Teckla,Angelo,9
A G,Ross,9
De-Rong,Hang,9
Anthony J,Walker,9
Hong,Gao,9
Edmund,Ireri,9
Yujuan,Shen,9
Zhou,Yi-Biao,9
L A,Tchuem Tchuenté,9
Francesco,Angelucci,9
Javier,Sotillo,8
Yi-Feng,Li,8
Govert,van Dam,8
Zhang,Yun,8
Wei,He,8
You-Zi,Li,8
Qizhi,Wang,8
Coen M,Adema,8
Margaret,Gyapong,8
Moses,Egesa,8
Cuiping,Ren,8
Rafaella Fortini Queiroz,Grenfell,8
Min,Wang,8
Yan,Zhang,8
Ana Lúcia C,Domingues,8
Jia-Song,Wang,8
Yong-long,Li,8
Lynsey,Blair,8
Thomas,Spangenberg,8
Francesca,Tamarozzi,8
Girmay,Medhin,8
Liu,Yang,8
P D,Ndhlovu,8
Gamal,Esmat,8
Congcong,Xia,8
Frédéric D,Chevalier,8
Song,Zhao,8
B J,Vennervald,8
Melissa L,Burke,8
François,Trottein,8
Shih-Yi,Peng,8
Lorenzo,Savioli,8
Wannaporn,Ittiprasert,8
Dai,Jian-Rong,8
Mario,Jiz,8
Timothy J C,Anderson,8
Q W,Jiang,8
Izabela,Voieta,8
Roman F,Wolf,8
Yong-Liang,Xu,8
Teresa C A,Ferrari,8
Chester,Kalinda,8
Marina,Harvie,8
Constança S,Barbosa,8
Daniel W,Fitzgerald,8
Zeleke,Mekonnen,8
Suzy J,Campbell,8
Hugo C,Turner,8
Guillaume,Mitta,8
Julien,Kincaid-Smith,8
Yupa,Chusongsang,8
Chi-Ling,Fu,8
Qi-Qiang,Tang,8
Huifen,Dong,8
S C,Oliveira,8
Yu,Zhang,8
Duong,Socheat,8
Somphou,Sayasone,8
Belén,Vicente,8
Michael R,Templeton,8
Eric M,Muchiri,8
Lisa,Ganley-Leal,8
Darrick,Carter,8
Klodeta,Kura,8
Zhong,Bo,8
Zhiyue,Lv,8
G J,van Dam,8
Guan-Ling,Wu,8
Jing-Bo,Xue,8
Eglal I,Amer,8
Gilda,Padalino,8
Chen,Lin,8
Seungman,Cha,8
Eve,Toulza,8
Philip L,Felgner,8
S,Brooker,8
T Déirdre,Hollingsworth,8
Mark E J,Woolhouse,8
S,Zhang,8
Simon,Senghor,8
Benjamin,Gourbal,8
Li-Ying,Wang,8
Monica Ammon,Fernandez,8
Stephen W,Attwood,8
Rodrigo,Corrêa-Oliveira,8
Birgitte Jyding,Vennervald,8
Nelly,El-Sakkary,8
Hao,Zheng,8
De'Broski R,Herbert,8
Nicaise A,N'Guessan,8
Xian-Hong,Wang,8
Kevin D,Lafferty,8
Tamotsu,Kanazawa,8
Yuan,Hu,8
Shu-Hua,Xiao,8
Katia C,Oliveira,8
David,Duval,8
Manfred,Jung,8
Vivian,Favero,8
Jong-Yil,Chai,8
S G,Gundersen,8
Nadine,Rujeni,8
Qin,Liu,8
Zhi-Qiang,Fu,8
Guo-Li,Qu,8
Clive,Shiff,8
Rong,Liu,8
Stephen,Cose,8
Jan,Clerinx,8
Elena A,Villacorte,8
Gong-Hua,Zhang,8
G T,Strickland,8
Jijia,Shen,8
Ricardo Riccio,Oliveira,8
Yang,Kun,8
Po-Ching,Cheng,8
Marcello Otake,Sato,8
A M,Deelder,8
Chao,Lv,8
Lijun,Lu,8
Graham F,Medley,7
Yan-Yan,Chen,7
Andréa,Teixeira-Carvalho,7
Reinaldo,Souza-Santos,7
W E,Secor,7
Andrea,Kreidenweiss,7
Shin-Ichiro,Kawazu,7
Ana,Rabello,7
Souleymane,Mboup,7
Li-ying,Wang,7
Saleh,Juma,7
Adriana S A,Pereira,7
Ze-Guang,Han,7
Liang,Xu,7
Rajabu Hussein,Mnkugwe,7
Ana,Oleaga,7
Andrew S,MacDonald,7
Rahul,Kumar,7
Charlotte M,Gower,7
James J,Collins,7
Nicholas J S,Lwambo,7
Tianping,Wang,7
Lynn,Meurs,7
Andreas,Neumayr,7
Megumi,Sato,7
Dandan,Lin,7
Andreas,Mueller,7
Patrick K,Yao,7
Olivier,Rey,7
Li,Zhang,7
Z,Feng,7
Derick N M,Osakunor,7
André,Capron,7
Pedro L S,Pinto,7
James E,Truscott,7
Qu,Guo-Li,7
Moustapha,Mbow,7
Wilma A,Stolk,7
Ahmed A,Sayed,7
Andrea,Rinaldo,7
Nancy,Holroyd,7
Adhemar,Zerlotini,7
Chao-Ming,Xia,7
Martin,Horn,7
André,de Lima Aires,7
Wolfgang,Sippl,7
Wei,Liu,7
Nana-Kwadwo,Biritwum,7
Mathias,Onsrud,7
Gary L,White,7
A C,Sleigh,7
Xue,Jing-Bo,7
Peng,Wang,7
Seydou,Touré,7
S Q,Zhang,7
Fernanda S,Teixeira,7
Raphael D,Isokpehi,7
Eric A,Ottesen,7
Nadine,Schur,7
Alison P,Galvani,7
Noboru,Inoue,7
Allen W,Cheever,7
Albis F,Gabrielli,7
Jia-Chang,He,7
Luc,Van Nassauw,7
O,Noya,7
Josefo,Ferro,7
Zhou,Xiao-Rong,7
Tereza Cristina,Favre,7
Hao,Nie,7
