Author,Degree Centrality,Betweenness Centrality
Ping Yi,0.004744283138817725,0.0021978075362261806
Dan-Dan Lin,0.004696840307429548,0.005554914818747518
,0.004696840307429548,0.008198882802542953
Peter J Hotez,0.004696840307429548,0.004968633904307207
Tian-Ping Wang,0.004601954644653193,0.002123257020336272
Safari Kinung'hi,0.004601954644653193,0.0017273964240278785
Moussa Sacko,0.004507068981876838,0.001668926283870064
José Roberto Lambertucci,0.004507068981876838,0.004334073119317006
Ke Lu,0.004507068981876838,0.0011965430124847866
Emily L Webb,0.004507068981876838,0.0008754628028286341
Rong Zhu,0.004507068981876838,0.0009212655903233023
Meta Roestenberg,0.004459626150488661,0.001540868569583959
Philip T LoVerde,0.004459626150488661,0.006397844425031004
J R Stothard,0.004459626150488661,0.03984441883490394
Chun-Li Cao,0.004412183319100484,0.0007205373539106448
David J Blok,0.004412183319100484,5.036720376018625e-05
Graham F Medley,0.004364740487712307,0.00036433899353293124
Yuichi Chigusa,0.004364740487712307,0.0004991634307989523
Raymond J Pierce,0.004364740487712307,0.003597228028894396
R Alan Wilson,0.004364740487712307,0.0030661861322151093
Matthew Berriman,0.004317297656324129,0.0016186881724651087
T Déirdre Hollingsworth,0.004317297656324129,0.0003862669655269462
Justin V Remais,0.004269854824935952,0.0026440450970505805
Ana Lúcia Coutinho Domingues,0.004269854824935952,0.010822031442694134
Paulo Marcos Zech Coelho,0.004269854824935952,0.0034491275116306907
Xiao-nong Zhou,0.004269854824935952,0.0009955444390234605
Xi-Bao Huang,0.004269854824935952,0.003223943806867217
You-sheng Liang,0.004222411993547775,0.0013277410846220892
Le-Ping Sun,0.004222411993547775,0.0014452121043597973
Edwin Michael,0.004174969162159598,0.000616993529401378
Allen G Ross,0.004174969162159598,0.0005922374848014165
Josué de Moraes,0.004174969162159598,0.005423340387373192
Tie-Wu Jia,0.004174969162159598,0.0019158916340184962
Fernando Salvador,0.004174969162159598,0.002032132712222187
Rodrigo Correa-Oliveira,0.004174969162159598,0.0065741314598883735
Li Shi-Zhu,0.00412752633077142,0.004234857353712326
Fatma Kabole,0.00412752633077142,0.001098092261377415
Guang-hui Ren,0.00412752633077142,0.0026322734290956788
Remigio M Olveda,0.004080083499383243,0.0011603031462235215
Ryan E Wiegand,0.004032640667995066,0.0007794754183711464
Cornelis H Hokke,0.004032640667995066,0.001634901188017087
Song Liang,0.003985197836606889,0.004103579470830533
Thomas M Lietman,0.003985197836606889,6.640748649503179e-05
Travis C Porco,0.003985197836606889,6.640748649503179e-05
Yi-Xin Huang,0.003985197836606889,0.0016993077172725503
Yang Liu,0.003985197836606889,0.0012901015951000097
Zhongdao Wu,0.003937755005218711,0.004624746519977197
Zhijie Zhang,0.003937755005218711,0.0015186663713599175
Cristina Bocanegra,0.003937755005218711,0.0034910332025938026
Yang Hong,0.003890312173830534,0.0012934229162832166
An Ning,0.003890312173830534,0.0027169753983559137
Masashi Kirinoki,0.003890312173830534,0.002083944698632294
Carl H Campbell,0.003842869342442357,0.000767878112917302
You-Sheng Liang,0.003842869342442357,0.002068867077785865
Annette Olsen,0.003842869342442357,0.0076457419661323965
Xi Sun,0.003842869342442357,0.0009842467072660615
Zeno Bisoffi,0.003842869342442357,0.0008469088420599897
Chuan Su,0.0037954265110541796,0.0009152183036643647
Kat S Rock,0.0037479836796660026,3.979071688479105e-06
Joachim Richter,0.0037479836796660026,0.0029524713649624595
Epke A Le Rutte,0.0037479836796660026,3.979071688479105e-06
Govert van Dam,0.0037479836796660026,0.0008564348951132589
X N Zhou,0.0037479836796660026,0.006159631219314852
Wilma A Stolk,0.003700540848277825,0.00020346892290294845
Jérôme Boissier,0.003700540848277825,0.006882785341151963
Qing Yu,0.003653098016889648,0.0014245197321633737
Li Tang,0.0036056551855014707,0.0023530434518625083
Yue-Sheng Li,0.0036056551855014707,0.0009837101643848662
Jennifer F Friedman,0.0036056551855014707,0.0013295737395430899
K Yang,0.0035582123541132936,0.0016244586587831056
Nicolas Jouanard,0.003510769522725116,0.00023048511308187673
Shan Lv,0.003510769522725116,0.0009318478707329375
Naftale Katz,0.003510769522725116,0.013635946954090962
María-Gloria Basáñez,0.003510769522725116,0.0007271494365944346
Mamadou Ouattara,0.003510769522725116,0.0006873845455164738
Ying Xiao,0.003463326691336939,0.0024098218786188642
Martin P Grobusch,0.003463326691336939,0.001851209435112553
Y Zhang,0.003463326691336939,0.0069137557142161235
Tian-ping Wang,0.003463326691336939,0.00030426448422622796
Anna V Protasio,0.003463326691336939,0.0010114556898460948
Antonio Montresor,0.003463326691336939,0.0035459369255156315
Shizhu Li,0.003463326691336939,0.0021782711196050063
Emmanuel Bottieau,0.003463326691336939,0.004698754268538271
Mihoko Kikuchi,0.0034158838599487617,0.0016450711870580742
Y Liu,0.0034158838599487617,0.0010809349193086214
Marcel Tanner,0.0034158838599487617,0.010171640813079169
Jiaojiao Lin,0.0034158838599487617,0.00038474188223870686
Simon Brooker,0.0034158838599487617,0.0018059203861739497
Eyrun Floerecke Kjetland,0.0033684410285605847,0.0023665368946273672
Michael H Hsieh,0.0033684410285605847,0.003275676716582266
Alessandro Bartoloni,0.0033684410285605847,0.0005670675893981865
Hong-Gen Chen,0.0033684410285605847,0.0033702719269889454
Qiang Wang,0.0033684410285605847,0.003101325255793401
Paul McVeigh,0.0033684410285605847,0.0003231574478507063
Dan-dan Lin,0.0033684410285605847,0.0009818361520372992
Narcis Kabatereine,0.0033209981971724072,0.0017249260147605822
Remigio Olveda,0.0033209981971724072,0.002181815675436185
De-Rong Hang,0.0033209981971724072,0.0007041475769894545
Pascal Magnussen,0.0033209981971724072,0.0006062564469957821
Maria Elena Bottazzi,0.00327355536578423,0.0019237934068746753
Pytsje T Hoekstra,0.00327355536578423,0.0012482604494543784
Andrea J Lund,0.00327355536578423,0.00041037636679557005
Jaspreet Toor,0.00327355536578423,0.0007870789520100829
Joaquin M Prada,0.0032261125343960527,0.00013009678747347327
Eyrun F Kjetland,0.0032261125343960527,0.001532111989227491
Dora Buonfrate,0.0032261125343960527,0.0014049986217350623
Said M Ali,0.0032261125343960527,0.00012368106662462733
Qing-Wu Jiang,0.0031786697030078757,0.000978541866617808
Catherine A Gordon,0.0031786697030078757,0.0007992267991442177
Ting Feng,0.0031786697030078757,0.001282318311025127
Mostafa Zamanian,0.0031786697030078757,0.00034457844640458366
Eveline Hürlimann,0.0031786697030078757,0.0005327880550881522
Joaquín Salas-Coronas,0.0031786697030078757,0.0033160662821549165
Berhanu Erko,0.0031786697030078757,0.005640928215087269
Yue Chen,0.0031786697030078757,0.0011221003971487282
Moses Egesa,0.0031786697030078757,0.0006793123644329247
Andreas Neumayr,0.0031786697030078757,0.0027625005777703066
J Zhou,0.0031786697030078757,0.000806743502818124
Afzal A Siddiqui,0.0031786697030078757,0.00228305161679989
Luc E Coffeng,0.0031786697030078757,0.00024106743044664374
Zi-Song Wu,0.0031786697030078757,0.0006352564295146157
Humphrey D Mazigo,0.0031312268716196983,0.00507148667496398
Alasdair Ivens,0.0031312268716196983,0.0004091801570807405
William Evan Secor,0.0031312268716196983,0.004857294963421557
Bonnie Webster,0.0031312268716196983,0.0015117015135262602
Jinming Liu,0.0031312268716196983,0.0002959535397163713
Archie C A Clements,0.0031312268716196983,0.0011768696513675004
Frances M Jones,0.0030837840402315212,0.0004725971439248504
Alex Loukas,0.0030837840402315212,0.0015525615452861479
Dirk Engels,0.0030837840402315212,0.01530941449591525
Thomas A Wynn,0.0030837840402315212,0.006284891541960994
Ricardo DeMarco,0.0030837840402315212,0.0006890769071909048
Julie Jacobson,0.0030837840402315212,0.0009919789260325557
Donald A Harn,0.0030837840402315212,0.001065021835601137
S Lü,0.0030837840402315212,0.0004845953836785395
Qing-Biao Hong,0.0030837840402315212,0.0069685754669612
Adhemar Zerlotini,0.003036341208843344,0.0018066456512735244
Sha Zhou,0.003036341208843344,0.00017023113917185055
J F Zhang,0.003036341208843344,0.0011739181694183625
Zu-Wu Tu,0.003036341208843344,0.00107104940764061
Peter G Kremsner,0.003036341208843344,0.0009185570715944187
Qingwu Jiang,0.0029888983774551663,0.0005988958806306989
Jason R Rohr,0.0029888983774551663,0.00030595800803304184
Edridah Tukahebwa,0.0029888983774551663,0.0002744310879525907
Shona Wilson,0.0029888983774551663,0.0009522214101272078
Aly Landouré,0.0029888983774551663,0.0020968274283792434
Jun-Fang Xu,0.0029888983774551663,0.00044459750860731926
Chelsea L Wood,0.0029888983774551663,0.00010841707472860909
Geoffrey N Gobert,0.0029888983774551663,0.001522857549015123
Yang Gao,0.0029888983774551663,0.00029601266245400806
David A Johnston,0.0029888983774551663,0.0009069728425894432
Qi-Zhi Wang,0.0029888983774551663,0.0003127619673609345
Brian B Graham,0.0029888983774551663,0.0038394266060067916
John H Ouma,0.0029414555460669893,0.0006040132974436372
Gary P Dillon,0.0029414555460669893,0.0004874679394518483
Jiang Zheng,0.0029414555460669893,0.002645761573017063
Christoph Hatz,0.0029414555460669893,0.0025511520150895074
Xiao-Hua Wu,0.0029414555460669893,0.0003345557488476759
Zheng Feng,0.0029414555460669893,0.0005870039958855083
Constança Simões Barbosa,0.0029414555460669893,0.0022573391496134945
Fiona Fleming,0.0029414555460669893,0.0008758233292339606
Isabel J Jones,0.002894012714678812,0.00011685593460715453
Jonathan D Kurtis,0.002894012714678812,0.00010245431491755546
Shi-qing Zhang,0.002894012714678812,0.0008533288144585577
Martha Betson,0.002894012714678812,0.00018011927896407012
Simon Senghor,0.002894012714678812,0.00022467734218179085
Shi-zhu Li,0.002894012714678812,0.0002635727121260158
Poppy H L Lamberton,0.002894012714678812,0.00041463523686091364
Muriel Rabone,0.002894012714678812,0.00032840653562660096
Mirjam Schunk,0.002846569883290635,0.00041301633395896713
Xiaoying Wu,0.002846569883290635,0.0007070843184069307
Y B Zhou,0.002846569883290635,0.002370673849888296
Michael Ramharter,0.002846569883290635,0.0003035494789881053
Santiago Mas-Coma,0.002846569883290635,0.00530248576661718
Rachael Thomson,0.002846569883290635,0.0009581017381494645
Manoj Gambhir,0.002846569883290635,0.00017644542328307028
Hong-gen Chen,0.002846569883290635,0.0007839726776768722
Cécile Häberli,0.002846569883290635,0.00010344325306124007
Zi-Ping Bao,0.0027991270519024574,0.0004219822295457807
David Gurarie,0.0027991270519024574,0.00010420300269447049
Khalfan A Mohammed,0.0027991270519024574,0.0007127896447162946
Yong Gu,0.0027991270519024574,0.00033888415895080615
N B Kabatereine,0.0027991270519024574,0.0017745938972342536
Pauline Mwinzi,0.0027991270519024574,0.000772953709871919
Malcolm K Jones,0.0027991270519024574,0.0014872346984962763
Luz P Acosta,0.0027991270519024574,0.0005230393171394116
Pengfei Cai,0.0027991270519024574,0.001599478989820621
Sue Binder,0.0027991270519024574,0.00013424740818557957
Jacent Nassuuna,0.0027516842205142803,0.00011893206383292906
Shi-Qing Zhang,0.0027516842205142803,0.0008929081825014227
Hong You,0.0027516842205142803,0.0006250018665599042
Armand M Kuris,0.0027516842205142803,0.0006079584365048572
Silmara M Allegretti,0.0027516842205142803,0.002720456385218267
Ping Li,0.0027516842205142803,0.0009833301814610549
Hai-Wei Wu,0.0027516842205142803,0.0009379323780881254
Anna Phillips,0.0027516842205142803,0.0021928394709238614
Hermelijn H Smits,0.0027516842205142803,0.0011974609123011459
J Utzinger,0.0027516842205142803,0.007745379580112285
Michael D French,0.002704241389126103,0.0003018173373404703
Nobuo Ohta,0.002704241389126103,0.0020171591163727015
Klodeta Kura,0.002704241389126103,6.171187945938432e-05
Aidan M Emery,0.002704241389126103,0.0002915641511445427
Anna Beltrame,0.002704241389126103,7.515625118482432e-05
Anne-Marie Schacht,0.002704241389126103,0.0004408369928058612
Peter Steinmann,0.002704241389126103,0.0006996249263903203
E James LaCourse,0.002704241389126103,0.0007382250065575481
Zhong-Dao Wu,0.002704241389126103,0.00258342548949509
Anna Borlase,0.002704241389126103,9.41759791330652e-05
Xi-guang Feng,0.002704241389126103,0.0003314015150493539
Nakul Chitnis,0.002704241389126103,0.0001521607382879823
Daniela Fusco,0.002656798557737926,0.000867552265533331
Sergio Verjovski-Almeida,0.002656798557737926,0.009652167407071808
Jan Hattendorf,0.002656798557737926,9.289725163657368e-05
Charles King,0.002656798557737926,0.00017661765534470155
Antonio Muro,0.002656798557737926,0.0010814267260309805
S Z Li,0.002656798557737926,0.00038587047289527433
Jia-gang Guo,0.002656798557737926,0.0001518917498444271
Israel Molina,0.002656798557737926,0.0006959799070816976
Jifeng Zhu,0.002656798557737926,0.00012746473638036943
Jennifer Wortman,0.0026093557263497484,0.0
Elizabeth J Carlton,0.0026093557263497484,0.0009857251995505883
